Italy,2,0,0,60753794,Europe,04/02/2020
Philippines,2,1,0,101920000,Asia,04/02/2020
Russia,2,0,0,146556330,Europe,04/02/2020
United Kingdom,2,0,0,64800000,Europe,04/02/2020
Belgium,1,0,0,11248330,Europe,04/02/2020
Cambodia,1,0,0,15405157,Asia,04/02/2020
Canada,1,0,0,35749600,Americas,04/02/2020
Finland,1,0,0,5485215,Europe,04/02/2020
Nepal,1,0,0,28037904,Asia,04/02/2020
Spain,1,0,0,46439864,Europe,04/02/2020
Sri Lanka,1,0,0,20675000,Asia,04/02/2020
Sweden,1,0,0,9793172,Europe,04/02/2020
China,27409,562,0,1371590000,Asia,05/02/2020
Singapore,28,0,0,5469700,Asia,05/02/2020
Thailand,25,0,0,65104000,Asia,05/02/2020
Japan,22,0,0,126865000,Asia,05/02/2020
Hong Kong,21,1,0,7298600,Asia,05/02/2020
South Korea,19,0,0,51448183,Asia,05/02/2020
Germany,12,0,0,81083600,Europe,05/02/2020
Malaysia,12,0,0,30678800,Asia,05/02/2020
Taiwan,11,0,0,23461708,Asia,05/02/2020
Macau,10,0,0,642900,Asia,05/02/2020
Vietnam,8,0,0,91812000,Asia,05/02/2020
France,6,0,0,66186000,Europe,05/02/2020
United Arab Emirates,5,0,0,9157000,Asia,05/02/2020
Australia,13,0,0,23868800,Oceania,05/02/2020
India,3,0,0,1275840000,Asia,05/02/2020
Canada,2,0,0,35749600,Americas,05/02/2020
Italy,2,0,0,60753794,Europe,05/02/2020
Philippines,2,1,0,101920000,Asia,05/02/2020
Russia,2,0,0,146556330,Europe,05/02/2020
United Kingdom,2,0,0,64800000,Europe,05/02/2020
Belgium,1,0,0,11248330,Europe,05/02/2020
Cambodia,1,0,0,15405157,Asia,05/02/2020
Finland,1,0,0,5485215,Europe,05/02/2020
Nepal,1,0,0,28037904,Asia,05/02/2020
Spain,1,0,0,46439864,Europe,05/02/2020
Sri Lanka,1,0,0,20675000,Asia,05/02/2020
Sweden,1,0,0,9793172,Europe,05/02/2020
China,30553,632,0,1371590000,Asia,06/02/2020
Japan,45,0,0,126865000,Asia,06/02/2020
Singapore,28,0,0,5469700,Asia,06/02/2020
Thailand,25,0,0,65104000,Asia,06/02/2020
Hong Kong,24,1,0,7298600,Asia,06/02/2020
South Korea,23,0,0,51448183,Asia,06/02/2020
Taiwan,16,0,0,23461708,Asia,06/02/2020
Germany,12,0,0,81083600,Europe,06/02/2020
Malaysia,12,0,0,30678800,Asia,06/02/2020
Macau,10,0,0,642900,Asia,06/02/2020
Vietnam,10,0,0,91812000,Asia,06/02/2020
France,6,0,0,66186000,Europe,06/02/2020
